	gene_type
2446	protein_coding
2447	snRNA
2448	protein_coding
2449	snoRNA
2450	protein_coding
2451	misc_RNA
2452	protein_coding
2453	transcribed_unprocessed_pseudogene
2454	processed_pseudogene
2455	processed_pseudogene
2456	miRNA
2457	protein_coding
2458	protein_coding
2459	processed_pseudogene
2460	processed_pseudogene
2461	IG_V_gene
2462	processed_pseudogene
2463	protein_coding
2464	protein_coding
2465	lincRNA
2466	snRNA
2467	miRNA
2468	antisense
2469	snRNA
2470	miRNA
2471	protein_coding
2472	lincRNA
2473	protein_coding
2474	protein_coding
2475	TEC
2476	processed_pseudogene
2477	protein_coding
2478	protein_coding
2479	lincRNA
2480	protein_coding
2481	protein_coding
2482	misc_RNA
2483	miRNA
2484	protein_coding
2485	processed_pseudogene
2486	snRNA
2487	lincRNA
2488	snRNA
2489	sense_intronic
2490	miRNA
2491	protein_coding
2492	rRNA_pseudogene
2493	processed_pseudogene
2494	processed_transcript
2495	processed_pseudogene
2496	processed_pseudogene
2497	TEC
2498	protein_coding
2499	antisense
2500	protein_coding
2501	lincRNA
2502	protein_coding
2503	protein_coding
2504	snRNA
2505	protein_coding
2506	protein_coding
2507	protein_coding
2508	processed_pseudogene
2509	protein_coding
2510	processed_pseudogene
2511	misc_RNA
2512	processed_pseudogene
2513	protein_coding
2514	protein_coding
2515	processed_pseudogene
2516	processed_pseudogene
2517	unprocessed_pseudogene
2518	lincRNA
2519	transcribed_unprocessed_pseudogene
2520	misc_RNA
2521	snRNA
2522	antisense
2523	processed_pseudogene
2524	protein_coding
2525	lincRNA
2526	snoRNA
2527	misc_RNA
2528	processed_pseudogene
2529	protein_coding
2530	protein_coding
2531	protein_coding
2532	protein_coding
2533	processed_pseudogene
2534	lincRNA
2535	protein_coding
2536	antisense
2537	protein_coding
2538	protein_coding
2539	lincRNA
2540	miRNA
2541	lincRNA
2542	processed_pseudogene
2543	antisense
2544	protein_coding
2545	protein_coding
2546	processed_pseudogene
2547	unprocessed_pseudogene
2548	processed_pseudogene
2549	protein_coding
2550	miRNA
2551	processed_pseudogene
2552	snRNA
2553	protein_coding
2554	protein_coding
2555	antisense
2556	snRNA
2557	processed_pseudogene
2558	misc_RNA
2559	protein_coding
2560	misc_RNA
2561	lincRNA
2562	misc_RNA
2563	snoRNA
2564	unprocessed_pseudogene
2565	processed_pseudogene
2566	processed_pseudogene
2567	antisense
2568	protein_coding
2569	misc_RNA
2570	processed_pseudogene
2571	processed_pseudogene
2572	sense_overlapping
2573	protein_coding
2574	protein_coding
2575	protein_coding
2576	protein_coding
2577	lincRNA
2578	snoRNA
2579	rRNA_pseudogene
2580	processed_pseudogene
2581	protein_coding
2582	protein_coding
2583	protein_coding
2584	processed_pseudogene
2585	protein_coding
2586	protein_coding
2587	lincRNA
2588	protein_coding
2589	processed_pseudogene
2590	miRNA
2591	processed_pseudogene
2592	TEC
2593	processed_pseudogene
2594	lincRNA
2595	processed_pseudogene
2596	processed_pseudogene
2597	protein_coding
2598	misc_RNA
2599	protein_coding
2600	protein_coding
2601	protein_coding
2602	protein_coding
2603	protein_coding
2604	misc_RNA
2605	antisense
2606	protein_coding
2607	antisense
2608	protein_coding
2609	processed_pseudogene
2610	protein_coding
2611	protein_coding
2612	misc_RNA
2613	processed_pseudogene
2614	protein_coding
2615	miRNA
2616	snRNA
2617	processed_pseudogene
2618	misc_RNA
2619	protein_coding
2620	processed_pseudogene
2621	lincRNA
2622	misc_RNA
2623	processed_pseudogene
2624	processed_pseudogene
2625	antisense
2626	processed_pseudogene
2627	protein_coding
2628	protein_coding
2629	unprocessed_pseudogene
2630	protein_coding
2631	protein_coding
2632	scaRNA
2633	processed_pseudogene
2634	lincRNA
2635	unprocessed_pseudogene
2636	processed_pseudogene
2637	processed_pseudogene
2638	processed_pseudogene
2639	antisense
2640	processed_pseudogene
2641	antisense
2642	protein_coding
2643	lincRNA
2644	processed_pseudogene
2645	processed_pseudogene
2646	antisense
2647	protein_coding
2648	protein_coding
2649	protein_coding
2650	protein_coding
2651	misc_RNA
2652	processed_pseudogene
2653	processed_pseudogene
2654	protein_coding
2655	miRNA
2656	processed_pseudogene
2657	protein_coding
2658	processed_pseudogene
2659	protein_coding
2660	rRNA_pseudogene
2661	protein_coding
2662	lincRNA
2663	protein_coding
2664	protein_coding
2665	snRNA
2666	protein_coding
2667	lincRNA
2668	protein_coding
2669	protein_coding
2670	processed_pseudogene
2671	processed_pseudogene
2672	snRNA
2673	protein_coding
2674	protein_coding
2675	processed_pseudogene
2676	processed_pseudogene
2677	unprocessed_pseudogene
2678	snRNA
2679	processed_pseudogene
2680	protein_coding
2681	rRNA_pseudogene
2682	lincRNA
2683	polymorphic_pseudogene
2684	protein_coding
2685	protein_coding
2686	antisense
2687	processed_pseudogene
2688	misc_RNA
2689	processed_pseudogene
2690	protein_coding
2691	protein_coding
2692	antisense
2693	processed_pseudogene
2694	antisense
2695	lincRNA
2696	protein_coding
2697	protein_coding
2698	antisense
2699	misc_RNA
2700	protein_coding
2701	protein_coding
2702	unprocessed_pseudogene
2703	processed_pseudogene
2704	protein_coding
2705	miRNA
2706	protein_coding
2707	processed_pseudogene
2708	protein_coding
2709	protein_coding
2710	processed_pseudogene
2711	protein_coding
2712	protein_coding
2713	IG_V_gene
2714	protein_coding
2715	lincRNA
2716	lincRNA
2717	processed_pseudogene
2718	antisense
2719	rRNA_pseudogene
2720	misc_RNA
2721	lincRNA
2722	processed_pseudogene
2723	protein_coding
2724	protein_coding
2725	snRNA
2726	miRNA
2727	TEC
2728	processed_pseudogene
2729	lincRNA
2730	protein_coding
2731	antisense
2732	misc_RNA
2733	processed_pseudogene
2734	processed_pseudogene
2735	lincRNA
2736	processed_pseudogene
2737	processed_pseudogene
2738	misc_RNA
2739	processed_pseudogene
2740	lincRNA
2741	misc_RNA
2742	lincRNA
2743	snRNA
2744	protein_coding
2745	snoRNA
2746	miRNA
2747	antisense
2748	protein_coding
2749	TEC
2750	lincRNA
2751	lincRNA
2752	processed_pseudogene
2753	lincRNA
2754	protein_coding
2755	lincRNA
2756	processed_pseudogene
2757	protein_coding
2758	transcribed_processed_pseudogene
2759	processed_pseudogene
2760	protein_coding
2761	transcribed_unprocessed_pseudogene
2762	protein_coding
2763	unprocessed_pseudogene
2764	lincRNA
2765	processed_pseudogene
2766	misc_RNA
2767	sense_intronic
2768	lincRNA
2769	processed_pseudogene
2770	protein_coding
2771	unprocessed_pseudogene
2772	antisense
2773	lincRNA
2774	protein_coding
2775	antisense
2776	processed_pseudogene
2777	sense_intronic
2778	protein_coding
2779	antisense
2780	lincRNA
2781	misc_RNA
2782	protein_coding
2783	transcribed_unprocessed_pseudogene
2784	misc_RNA
2785	protein_coding
2786	protein_coding
2787	protein_coding
2788	transcribed_processed_pseudogene
2789	processed_pseudogene
2790	processed_pseudogene
2791	processed_pseudogene
2792	lincRNA
2793	TEC
2794	protein_coding
2795	protein_coding
2796	unprocessed_pseudogene
2797	processed_pseudogene
2798	protein_coding
2799	protein_coding
2800	sense_intronic
2801	protein_coding
2802	protein_coding
2803	transcribed_processed_pseudogene
2804	lincRNA
2805	lincRNA
2806	processed_pseudogene
2807	protein_coding
2808	processed_pseudogene
2809	lincRNA
2810	protein_coding
2811	protein_coding
2812	protein_coding
2813	protein_coding
2814	processed_pseudogene
2815	protein_coding
2816	processed_pseudogene
2817	protein_coding
2818	processed_pseudogene
2819	lincRNA
2820	protein_coding
2821	protein_coding
2822	miRNA
2823	protein_coding
2824	lincRNA
2825	protein_coding
2826	protein_coding
2827	processed_pseudogene
2828	processed_pseudogene
2829	processed_pseudogene
2830	protein_coding
2831	protein_coding
2832	transcribed_unitary_pseudogene
2833	unprocessed_pseudogene
2834	protein_coding
2835	protein_coding
2836	TEC
2837	protein_coding
2838	protein_coding
2839	misc_RNA
2840	processed_pseudogene
2841	protein_coding
2842	protein_coding
2843	misc_RNA
2844	IG_V_pseudogene
2845	lincRNA
2846	protein_coding
2847	protein_coding
2848	TEC
2849	processed_pseudogene
2850	protein_coding
2851	processed_pseudogene
2852	processed_pseudogene
2853	protein_coding
2854	protein_coding
2855	miRNA
2856	transcribed_unprocessed_pseudogene
2857	protein_coding
2858	antisense
2859	processed_pseudogene
2860	unprocessed_pseudogene
2861	antisense
2862	sense_intronic
2863	protein_coding
2864	lincRNA
2865	protein_coding
2866	antisense
2867	misc_RNA
2868	antisense
2869	protein_coding
2870	processed_pseudogene
2871	snoRNA
2872	protein_coding
2873	protein_coding
2874	processed_pseudogene
2875	bidirectional_promoter_lncRNA
2876	protein_coding
2877	processed_transcript
2878	antisense
2879	transcribed_processed_pseudogene
2880	antisense
2881	lincRNA
2882	lincRNA
2883	unprocessed_pseudogene
2884	transcribed_unprocessed_pseudogene
2885	protein_coding
2886	protein_coding
2887	protein_coding
2888	protein_coding
2889	protein_coding
2890	TEC
2891	protein_coding
2892	protein_coding
2893	antisense
2894	protein_coding
2895	lincRNA
2896	processed_pseudogene
2897	antisense
2898	unprocessed_pseudogene
2899	processed_pseudogene
2900	protein_coding
2901	antisense
2902	misc_RNA
2903	processed_pseudogene
2904	protein_coding
2905	unprocessed_pseudogene
2906	processed_pseudogene
2907	lincRNA
2908	lincRNA
2909	processed_transcript
2910	misc_RNA
2911	protein_coding
2912	lincRNA
2913	processed_pseudogene
2914	transcribed_unitary_pseudogene
2915	transcribed_unitary_pseudogene
2916	processed_pseudogene
2917	protein_coding
2918	lincRNA
2919	transcribed_unprocessed_pseudogene
2920	processed_pseudogene
2921	unprocessed_pseudogene
2922	lincRNA
2923	IG_V_pseudogene
2924	lincRNA
2925	antisense
2926	protein_coding
2927	protein_coding
2928	protein_coding
2929	lincRNA
2930	unprocessed_pseudogene
2931	antisense
2932	processed_pseudogene
2933	antisense
2934	protein_coding
2935	antisense
2936	protein_coding
2937	protein_coding
2938	antisense
2939	lincRNA
2940	protein_coding
2941	lincRNA
2942	rRNA
2943	snRNA
2944	processed_pseudogene
2945	processed_pseudogene
2946	protein_coding
2947	processed_pseudogene
2948	antisense
2949	protein_coding
2950	protein_coding
2951	processed_pseudogene
2952	antisense
2953	protein_coding
2954	processed_pseudogene
2955	antisense
2956	antisense
2957	processed_pseudogene
2958	sense_intronic
2959	processed_pseudogene
2960	lincRNA
2961	protein_coding
2962	protein_coding
2963	misc_RNA
2964	processed_pseudogene
2965	unprocessed_pseudogene
2966	protein_coding
2967	protein_coding
2968	protein_coding
2969	processed_pseudogene
2970	protein_coding
2971	processed_pseudogene
2972	protein_coding
2973	processed_pseudogene
2974	antisense
2975	unprocessed_pseudogene
2976	processed_pseudogene
2977	processed_pseudogene
2978	antisense
2979	bidirectional_promoter_lncRNA
2980	snRNA
2981	antisense
2982	miRNA
2983	antisense
2984	protein_coding
2985	protein_coding
2986	processed_pseudogene
2987	processed_pseudogene
2988	misc_RNA
2989	lincRNA
2990	protein_coding
2991	protein_coding
2992	protein_coding
2993	sense_intronic
2994	snRNA
2995	TEC
2996	lincRNA
2997	lincRNA
2998	processed_pseudogene
2999	antisense
3000	unprocessed_pseudogene
3001	processed_pseudogene
3002	transcribed_unprocessed_pseudogene
3003	processed_pseudogene
3004	lincRNA
3005	transcribed_unitary_pseudogene
3006	lincRNA
3007	unprocessed_pseudogene
3008	processed_pseudogene
3009	protein_coding
3010	snRNA
3011	processed_pseudogene
3012	lincRNA
3013	protein_coding
3014	unprocessed_pseudogene
3015	snRNA
3016	protein_coding
3017	misc_RNA
3018	protein_coding
3019	processed_pseudogene
3020	processed_pseudogene
3021	lincRNA
3022	protein_coding
3023	protein_coding
3024	processed_pseudogene
3025	processed_pseudogene
3026	sense_overlapping
3027	protein_coding
3028	processed_pseudogene
3029	IG_V_gene
3030	processed_pseudogene
3031	processed_pseudogene
3032	processed_pseudogene
3033	protein_coding
3034	protein_coding
3035	bidirectional_promoter_lncRNA
3036	protein_coding
3037	unprocessed_pseudogene
3038	processed_pseudogene
3039	processed_pseudogene
3040	antisense
3041	scaRNA
3042	protein_coding
3043	protein_coding
3044	lincRNA
3045	protein_coding
3046	protein_coding
3047	processed_pseudogene
3048	protein_coding
3049	protein_coding
3050	unprocessed_pseudogene
3051	lincRNA
3052	lincRNA
3053	antisense
3054	protein_coding
3055	processed_pseudogene
3056	protein_coding
3057	protein_coding
3058	protein_coding
3059	protein_coding
3060	protein_coding
3061	protein_coding
3062	misc_RNA
3063	protein_coding
3064	lincRNA
3065	protein_coding
3066	misc_RNA
3067	processed_pseudogene
3068	lincRNA
3069	lincRNA
3070	lincRNA
3071	protein_coding
3072	protein_coding
3073	protein_coding
3074	protein_coding
3075	processed_pseudogene
3076	protein_coding
3077	antisense
3078	protein_coding
3079	processed_transcript
3080	processed_pseudogene
3081	protein_coding
3082	processed_pseudogene
3083	protein_coding
3084	processed_pseudogene
3085	lincRNA
3086	processed_pseudogene
3087	protein_coding
3088	protein_coding
3089	protein_coding
3090	lincRNA
3091	protein_coding
3092	protein_coding
3093	protein_coding
3094	miRNA
3095	processed_pseudogene
3096	sense_intronic
3097	rRNA_pseudogene
3098	transcribed_unprocessed_pseudogene
3099	protein_coding
3100	processed_pseudogene
3101	protein_coding
3102	sense_overlapping
3103	protein_coding
3104	lincRNA
3105	processed_pseudogene
3106	protein_coding
3107	protein_coding
3108	processed_pseudogene
3109	protein_coding
3110	snRNA
3111	protein_coding
3112	processed_pseudogene
3113	unprocessed_pseudogene
3114	lincRNA
3115	antisense
3116	processed_pseudogene
3117	unprocessed_pseudogene
3118	lincRNA
3119	protein_coding
3120	protein_coding
3121	snoRNA
3122	protein_coding
3123	lincRNA
3124	antisense
3125	unprocessed_pseudogene
3126	antisense
3127	antisense
3128	processed_pseudogene
3129	processed_pseudogene
3130	protein_coding
3131	lincRNA
3132	lincRNA
3133	processed_pseudogene
3134	processed_pseudogene
3135	processed_pseudogene
3136	processed_pseudogene
3137	protein_coding
3138	lincRNA
3139	misc_RNA
3140	processed_pseudogene
3141	lincRNA
3142	protein_coding
3143	lincRNA
3144	protein_coding
3145	protein_coding
3146	snoRNA
3147	sense_intronic
3148	protein_coding
3149	snRNA
3150	lincRNA
3151	unprocessed_pseudogene
3152	protein_coding
3153	unprocessed_pseudogene
3154	processed_pseudogene
3155	protein_coding
3156	protein_coding
3157	snoRNA
3158	protein_coding
3159	processed_pseudogene
3160	processed_pseudogene
3161	protein_coding
3162	miRNA
3163	antisense
3164	antisense
3165	processed_pseudogene
3166	antisense
3167	protein_coding
3168	unprocessed_pseudogene
3169	lincRNA
3170	snoRNA
3171	protein_coding
3172	lincRNA
3173	protein_coding
3174	lincRNA
3175	processed_pseudogene
3176	protein_coding
3177	snRNA
3178	protein_coding
3179	antisense
3180	lincRNA
3181	processed_transcript
3182	antisense
3183	lincRNA
3184	protein_coding
3185	processed_pseudogene
3186	protein_coding
3187	protein_coding
3188	antisense
3189	processed_pseudogene
3190	transcribed_unprocessed_pseudogene
3191	processed_pseudogene
3192	processed_pseudogene
3193	protein_coding
3194	protein_coding
3195	snoRNA
3196	antisense
3197	unprocessed_pseudogene
3198	snRNA
3199	processed_pseudogene
3200	processed_pseudogene
3201	protein_coding
3202	protein_coding
3203	processed_pseudogene
3204	protein_coding
3205	protein_coding
3206	protein_coding
3207	protein_coding
3208	protein_coding
3209	3prime_overlapping_ncRNA
3210	miRNA
3211	processed_pseudogene
3212	lincRNA
3213	protein_coding
3214	lincRNA
3215	protein_coding
3216	snRNA
3217	misc_RNA
3218	protein_coding
3219	lincRNA
3220	processed_pseudogene
3221	lincRNA
3222	miRNA
3223	miRNA
3224	processed_pseudogene
3225	processed_pseudogene
3226	protein_coding
3227	processed_pseudogene
3228	protein_coding
3229	misc_RNA
3230	protein_coding
3231	processed_pseudogene
3232	protein_coding
3233	protein_coding
3234	antisense
3235	protein_coding
3236	TEC
3237	lincRNA
3238	protein_coding
3239	antisense
3240	protein_coding
3241	antisense
3242	protein_coding
3243	processed_transcript
3244	protein_coding
3245	miRNA
3246	processed_pseudogene
3247	processed_pseudogene
3248	processed_pseudogene
3249	processed_pseudogene
3250	protein_coding
3251	protein_coding
3252	protein_coding
3253	lincRNA
3254	rRNA_pseudogene
3255	snoRNA
3256	processed_pseudogene
3257	processed_pseudogene
3258	processed_pseudogene
3259	lincRNA
3260	snRNA
3261	protein_coding
3262	protein_coding
3263	snoRNA
3264	processed_pseudogene
3265	sense_intronic
3266	snRNA
3267	TEC
3268	antisense
3269	processed_pseudogene
3270	processed_pseudogene
3271	processed_pseudogene
3272	lincRNA
3273	protein_coding
3274	protein_coding
3275	protein_coding
3276	sense_intronic
3277	protein_coding
3278	miRNA
3279	snoRNA
3280	protein_coding
3281	miRNA
3282	lincRNA
3283	snRNA
3284	processed_pseudogene
3285	protein_coding
3286	protein_coding
3287	protein_coding
3288	protein_coding
3289	processed_pseudogene
3290	processed_pseudogene
3291	lincRNA
3292	processed_pseudogene
3293	antisense
3294	protein_coding
3295	processed_pseudogene
3296	processed_pseudogene
3297	lincRNA
3298	processed_pseudogene
3299	protein_coding
3300	protein_coding
3301	protein_coding
3302	lincRNA
3303	miRNA
3304	antisense
3305	misc_RNA
3306	rRNA_pseudogene
3307	lincRNA
3308	processed_pseudogene
3309	protein_coding
3310	protein_coding
3311	protein_coding
3312	processed_pseudogene
3313	lincRNA
3314	protein_coding
3315	transcribed_processed_pseudogene
3316	snRNA
3317	lincRNA
3318	lincRNA
3319	processed_pseudogene
3320	processed_pseudogene
3321	protein_coding
3322	protein_coding
3323	transcribed_processed_pseudogene
3324	IG_V_pseudogene
3325	misc_RNA
3326	snRNA
3327	unprocessed_pseudogene
3328	processed_pseudogene
3329	protein_coding
3330	miRNA
3331	protein_coding
3332	protein_coding
3333	lincRNA
3334	processed_pseudogene
3335	sense_intronic
3336	processed_pseudogene
3337	protein_coding
3338	protein_coding
3339	lincRNA
3340	miRNA
3341	protein_coding
3342	protein_coding
3343	lincRNA
3344	processed_pseudogene
3345	protein_coding
3346	sense_overlapping
3347	processed_pseudogene
3348	unprocessed_pseudogene
3349	lincRNA
3350	protein_coding
3351	snoRNA
3352	miRNA
3353	snRNA
3354	protein_coding
3355	TEC
3356	processed_pseudogene
3357	rRNA_pseudogene
3358	snRNA
3359	processed_pseudogene
3360	processed_pseudogene
3361	protein_coding
3362	misc_RNA
3363	antisense
3364	protein_coding
3365	unprocessed_pseudogene
3366	processed_pseudogene
3367	processed_pseudogene
3368	antisense
3369	protein_coding
3370	lincRNA
3371	protein_coding
3372	processed_pseudogene
3373	antisense
3374	processed_pseudogene
3375	processed_pseudogene
3376	protein_coding
3377	transcribed_unprocessed_pseudogene
3378	processed_pseudogene
3379	misc_RNA
3380	processed_transcript
3381	unprocessed_pseudogene
3382	protein_coding
3383	protein_coding
3384	processed_pseudogene
3385	antisense
3386	unprocessed_pseudogene
3387	protein_coding
3388	protein_coding
3389	processed_pseudogene
3390	IG_V_pseudogene
3391	lincRNA
3392	misc_RNA
3393	antisense
3394	processed_pseudogene
3395	protein_coding
3396	snRNA
3397	processed_pseudogene
3398	processed_pseudogene
3399	processed_pseudogene
3400	unprocessed_pseudogene
3401	misc_RNA
3402	misc_RNA
3403	protein_coding
3404	protein_coding
3405	lincRNA
3406	lincRNA
3407	protein_coding
3408	protein_coding
3409	protein_coding
3410	antisense
3411	antisense
3412	processed_transcript
3413	protein_coding
3414	protein_coding
3415	lincRNA
3416	lincRNA
3417	protein_coding
3418	protein_coding
3419	protein_coding
3420	protein_coding
3421	processed_pseudogene
3422	processed_pseudogene
3423	antisense
3424	lincRNA
3425	lincRNA
3426	processed_pseudogene
3427	antisense
3428	processed_pseudogene
3429	protein_coding
3430	protein_coding
3431	protein_coding
3432	protein_coding
3433	protein_coding
3434	processed_pseudogene
3435	IG_V_gene
3436	transcribed_processed_pseudogene
3437	protein_coding
3438	processed_pseudogene
3439	processed_pseudogene
3440	protein_coding
3441	processed_pseudogene
3442	transcribed_unprocessed_pseudogene
3443	processed_pseudogene
3444	protein_coding
3445	processed_pseudogene
3446	processed_pseudogene
3447	lincRNA
3448	processed_pseudogene
3449	processed_pseudogene
3450	antisense
3451	protein_coding
3452	unprocessed_pseudogene
3453	protein_coding
3454	protein_coding
3455	lincRNA
3456	misc_RNA
3457	protein_coding
3458	snRNA
3459	protein_coding
3460	antisense
3461	protein_coding
3462	protein_coding
3463	unprocessed_pseudogene
3464	transcribed_unprocessed_pseudogene
3465	transcribed_unprocessed_pseudogene
3466	processed_pseudogene
3467	processed_pseudogene
3468	protein_coding
3469	lincRNA
3470	misc_RNA
3471	lincRNA
3472	processed_pseudogene
3473	protein_coding
3474	unprocessed_pseudogene
3475	processed_pseudogene
3476	processed_pseudogene
3477	misc_RNA
3478	lincRNA
3479	protein_coding
3480	protein_coding
3481	antisense
3482	scaRNA
3483	protein_coding
3484	protein_coding
3485	protein_coding
3486	protein_coding
3487	protein_coding
3488	processed_pseudogene
3489	protein_coding
3490	transcribed_unprocessed_pseudogene
3491	transcribed_unprocessed_pseudogene
3492	lincRNA
3493	lincRNA
3494	unprocessed_pseudogene
3495	processed_pseudogene
3496	snoRNA
3497	protein_coding
3498	processed_pseudogene
3499	protein_coding
3500	protein_coding
3501	processed_pseudogene
3502	protein_coding
3503	protein_coding
3504	protein_coding
3505	protein_coding
3506	rRNA_pseudogene
3507	antisense
3508	lincRNA
3509	TEC
3510	processed_pseudogene
3511	protein_coding
3512	protein_coding
3513	unprocessed_pseudogene
3514	snRNA
3515	processed_transcript
3516	unprocessed_pseudogene
3517	misc_RNA
3518	processed_transcript
3519	processed_pseudogene
3520	misc_RNA
3521	protein_coding
3522	snRNA
3523	protein_coding
3524	protein_coding
3525	lincRNA
3526	lincRNA
3527	antisense
3528	protein_coding
3529	antisense
3530	processed_transcript
3531	protein_coding
3532	protein_coding
3533	processed_pseudogene
3534	protein_coding
3535	lincRNA
3536	processed_pseudogene
3537	lincRNA
3538	snRNA
3539	misc_RNA
3540	lincRNA
3541	protein_coding
3542	lincRNA
3543	protein_coding
3544	protein_coding
3545	protein_coding
3546	sense_intronic
3547	protein_coding
3548	processed_pseudogene
3549	protein_coding
3550	protein_coding
3551	antisense
3552	antisense
3553	processed_pseudogene
3554	misc_RNA
3555	protein_coding
3556	unprocessed_pseudogene
3557	snoRNA
3558	lincRNA
3559	antisense
3560	processed_pseudogene
3561	lincRNA
3562	protein_coding
3563	processed_pseudogene
3564	processed_transcript
3565	processed_pseudogene
3566	misc_RNA
3567	snoRNA
3568	protein_coding
3569	antisense
3570	antisense
3571	protein_coding
3572	miRNA
3573	sense_intronic
3574	protein_coding
3575	antisense
3576	protein_coding
3577	bidirectional_promoter_lncRNA
3578	processed_pseudogene
3579	misc_RNA
3580	processed_pseudogene
3581	snRNA
3582	protein_coding
3583	protein_coding
3584	protein_coding
3585	protein_coding
3586	protein_coding
3587	processed_transcript
3588	protein_coding
3589	protein_coding
3590	antisense
3591	miRNA
3592	unprocessed_pseudogene
3593	unprocessed_pseudogene
3594	processed_pseudogene
3595	protein_coding
3596	lincRNA
3597	protein_coding
3598	antisense
3599	snRNA
3600	misc_RNA
3601	miRNA
3602	protein_coding
3603	protein_coding
3604	TEC
3605	protein_coding
3606	snRNA
3607	protein_coding
3608	protein_coding
3609	processed_pseudogene
3610	processed_pseudogene
3611	misc_RNA
3612	lincRNA
3613	snoRNA
3614	protein_coding
3615	lincRNA
3616	processed_pseudogene
3617	processed_transcript
3618	processed_pseudogene
3619	protein_coding
3620	lincRNA
3621	sense_intronic
3622	unprocessed_pseudogene
3623	transcribed_processed_pseudogene
3624	unprocessed_pseudogene
3625	misc_RNA
3626	lincRNA
3627	processed_pseudogene
3628	protein_coding
3629	unprocessed_pseudogene
3630	protein_coding
3631	lincRNA
3632	processed_pseudogene
3633	protein_coding
3634	protein_coding
3635	miRNA
3636	protein_coding
3637	antisense
3638	processed_pseudogene
3639	protein_coding
3640	unprocessed_pseudogene
3641	protein_coding
3642	misc_RNA
3643	lincRNA
3644	misc_RNA
3645	lincRNA
3646	protein_coding
3647	antisense
3648	lincRNA
3649	processed_pseudogene
3650	antisense
3651	lincRNA
3652	processed_pseudogene
3653	protein_coding
3654	protein_coding
3655	processed_pseudogene
3656	lincRNA
3657	protein_coding
3658	protein_coding
3659	protein_coding
3660	antisense
3661	antisense
3662	snoRNA
3663	protein_coding
3664	processed_pseudogene
3665	antisense
3666	protein_coding
3667	antisense
3668	antisense
3669	unprocessed_pseudogene
3670	snRNA
3671	protein_coding
3672	processed_pseudogene
3673	unprocessed_pseudogene
3674	processed_pseudogene
3675	processed_transcript
3676	miRNA
3677	unitary_pseudogene
3678	processed_pseudogene
3679	processed_pseudogene
3680	unprocessed_pseudogene
3681	protein_coding
3682	protein_coding
3683	protein_coding
3684	protein_coding
3685	TEC
3686	processed_pseudogene
3687	unprocessed_pseudogene
3688	processed_pseudogene
3689	snRNA
3690	processed_pseudogene
3691	protein_coding
3692	snoRNA
3693	antisense
3694	processed_pseudogene
3695	protein_coding
3696	processed_pseudogene
3697	processed_pseudogene
3698	protein_coding
3699	antisense
3700	antisense
3701	sense_intronic
3702	protein_coding
3703	sense_intronic
3704	lincRNA
3705	lincRNA
3706	protein_coding
3707	transcribed_unitary_pseudogene
3708	transcribed_unprocessed_pseudogene
3709	processed_pseudogene
3710	protein_coding
3711	processed_pseudogene
3712	protein_coding
3713	processed_pseudogene
3714	processed_pseudogene
3715	processed_pseudogene
3716	3prime_overlapping_ncRNA
3717	transcribed_processed_pseudogene
3718	unprocessed_pseudogene
3719	protein_coding
3720	protein_coding
3721	protein_coding
3722	lincRNA
3723	antisense
3724	lincRNA
3725	snRNA
3726	protein_coding
3727	lincRNA
3728	protein_coding
3729	lincRNA
3730	protein_coding
3731	miRNA
3732	misc_RNA
3733	protein_coding
3734	unprocessed_pseudogene
3735	snRNA
3736	protein_coding
3737	antisense
3738	lincRNA
3739	processed_pseudogene
3740	lincRNA
3741	antisense
3742	lincRNA
3743	protein_coding
3744	lincRNA
3745	protein_coding
3746	processed_transcript
3747	protein_coding
3748	lincRNA
3749	lincRNA
3750	processed_pseudogene
3751	miRNA
3752	lincRNA
3753	protein_coding
3754	processed_pseudogene
3755	snoRNA
3756	antisense
3757	protein_coding
3758	protein_coding
3759	snRNA
3760	processed_pseudogene
3761	unprocessed_pseudogene
3762	TEC
3763	TEC
3764	TEC
3765	unprocessed_pseudogene
3766	processed_pseudogene
3767	protein_coding
3768	antisense
3769	misc_RNA
3770	transcribed_processed_pseudogene
3771	protein_coding
3772	misc_RNA
3773	protein_coding
3774	protein_coding
3775	antisense
3776	antisense
3777	processed_pseudogene
3778	protein_coding
3779	processed_pseudogene
3780	unprocessed_pseudogene
3781	antisense
3782	processed_pseudogene
3783	sense_intronic
3784	protein_coding
3785	antisense
3786	processed_pseudogene
3787	protein_coding
3788	protein_coding
3789	protein_coding
3790	processed_pseudogene
3791	misc_RNA
3792	protein_coding
3793	unprocessed_pseudogene
3794	protein_coding
3795	miRNA
3796	protein_coding
3797	protein_coding
3798	miRNA
3799	miRNA
3800	antisense
3801	snRNA
3802	snRNA
3803	misc_RNA
3804	protein_coding
3805	protein_coding
3806	protein_coding
3807	lincRNA
3808	unprocessed_pseudogene
3809	protein_coding
3810	protein_coding
3811	protein_coding
3812	processed_pseudogene
3813	transcribed_processed_pseudogene
3814	processed_pseudogene
3815	protein_coding
3816	misc_RNA
3817	snRNA
3818	protein_coding
3819	processed_pseudogene
3820	protein_coding
3821	processed_pseudogene
3822	rRNA
3823	misc_RNA
3824	snRNA
3825	transcribed_unprocessed_pseudogene
3826	processed_pseudogene
3827	protein_coding
3828	protein_coding
3829	lincRNA
3830	processed_pseudogene
3831	lincRNA
3832	rRNA_pseudogene
3833	processed_pseudogene
3834	antisense
3835	protein_coding
