	gene_type
355	protein_coding
356	misc_RNA
357	protein_coding
358	antisense
359	processed_pseudogene
360	lincRNA
361	protein_coding
362	sense_intronic
363	protein_coding
364	antisense
365	lincRNA
366	protein_coding
367	unprocessed_pseudogene
368	antisense
369	sense_overlapping
370	protein_coding
371	lincRNA
372	protein_coding
373	protein_coding
374	processed_pseudogene
375	processed_pseudogene
376	protein_coding
377	protein_coding
378	protein_coding
379	protein_coding
380	processed_pseudogene
381	sense_intronic
382	protein_coding
383	snRNA
384	protein_coding
385	lincRNA
386	protein_coding
387	protein_coding
388	processed_pseudogene
389	processed_pseudogene
390	lincRNA
391	protein_coding
392	lincRNA
393	snoRNA
394	protein_coding
395	unprocessed_pseudogene
396	protein_coding
397	antisense
398	antisense
399	miRNA
400	unprocessed_pseudogene
401	protein_coding
402	protein_coding
403	protein_coding
404	processed_pseudogene
405	protein_coding
406	antisense
407	protein_coding
408	protein_coding
409	protein_coding
410	processed_pseudogene
411	snRNA
412	processed_pseudogene
413	protein_coding
414	processed_pseudogene
415	protein_coding
416	miRNA
417	lincRNA
418	antisense
419	TEC
420	processed_pseudogene
421	lincRNA
422	lincRNA
423	protein_coding
424	lincRNA
425	snoRNA
426	IG_J_gene
427	protein_coding
428	antisense
429	protein_coding
430	processed_pseudogene
431	processed_pseudogene
432	antisense
433	protein_coding
434	protein_coding
435	lincRNA
436	lincRNA
437	processed_pseudogene
438	protein_coding
439	protein_coding
440	lincRNA
441	protein_coding
442	antisense
443	protein_coding
444	polymorphic_pseudogene
445	snRNA
446	misc_RNA
447	lincRNA
448	snoRNA
449	protein_coding
450	snRNA
451	lincRNA
452	processed_pseudogene
453	processed_pseudogene
454	protein_coding
455	protein_coding
456	antisense
457	protein_coding
458	protein_coding
459	protein_coding
460	protein_coding
461	protein_coding
462	IG_V_gene
463	snoRNA
464	protein_coding
465	protein_coding
466	transcribed_processed_pseudogene
467	processed_pseudogene
468	protein_coding
469	lincRNA
470	processed_pseudogene
471	protein_coding
472	lincRNA
473	antisense
474	antisense
475	misc_RNA
476	antisense
477	processed_pseudogene
478	protein_coding
479	processed_pseudogene
480	misc_RNA
481	antisense
482	unitary_pseudogene
483	processed_pseudogene
484	misc_RNA
485	processed_pseudogene
486	lincRNA
487	misc_RNA
488	transcribed_processed_pseudogene
489	processed_pseudogene
490	protein_coding
491	processed_pseudogene
492	processed_pseudogene
493	antisense
494	IG_V_gene
495	lincRNA
496	processed_pseudogene
497	protein_coding
498	processed_pseudogene
499	lincRNA
500	TEC
501	protein_coding
502	antisense
503	protein_coding
504	antisense
505	lincRNA
506	protein_coding
507	lincRNA
508	antisense
509	lincRNA
510	protein_coding
511	antisense
512	lincRNA
513	protein_coding
514	protein_coding
515	sense_overlapping
516	processed_pseudogene
517	processed_pseudogene
518	protein_coding
519	miRNA
520	protein_coding
521	lincRNA
522	protein_coding
523	processed_pseudogene
524	misc_RNA
525	protein_coding
526	lincRNA
527	TEC
528	antisense
529	processed_pseudogene
530	antisense
531	snRNA
532	processed_pseudogene
533	protein_coding
534	processed_pseudogene
535	rRNA_pseudogene
536	lincRNA
537	snoRNA
538	protein_coding
539	unprocessed_pseudogene
540	processed_pseudogene
541	processed_pseudogene
542	protein_coding
543	lincRNA
544	processed_pseudogene
545	protein_coding
546	snoRNA
547	processed_pseudogene
548	protein_coding
549	protein_coding
550	transcribed_processed_pseudogene
551	protein_coding
552	processed_pseudogene
553	protein_coding
554	lincRNA
555	transcribed_processed_pseudogene
556	processed_pseudogene
557	protein_coding
558	protein_coding
559	protein_coding
560	protein_coding
561	lincRNA
562	processed_pseudogene
563	lincRNA
564	sense_overlapping
565	antisense
566	antisense
567	processed_pseudogene
568	processed_pseudogene
569	protein_coding
570	snRNA
571	lincRNA
572	protein_coding
573	lincRNA
574	unprocessed_pseudogene
575	protein_coding
576	processed_transcript
577	processed_pseudogene
578	misc_RNA
579	protein_coding
580	protein_coding
581	protein_coding
582	processed_pseudogene
583	lincRNA
584	lincRNA
585	snRNA
586	protein_coding
587	lincRNA
588	lincRNA
589	antisense
590	protein_coding
591	unprocessed_pseudogene
592	transcribed_processed_pseudogene
593	antisense
594	lincRNA
595	processed_pseudogene
596	TEC
597	processed_pseudogene
598	protein_coding
599	miRNA
600	snRNA
601	protein_coding
602	protein_coding
603	transcribed_processed_pseudogene
604	processed_pseudogene
605	processed_transcript
606	protein_coding
607	lincRNA
608	unprocessed_pseudogene
609	unprocessed_pseudogene
610	protein_coding
611	protein_coding
612	lincRNA
613	rRNA_pseudogene
614	protein_coding
615	lincRNA
616	processed_pseudogene
617	lincRNA
618	processed_transcript
619	protein_coding
620	protein_coding
621	antisense
622	protein_coding
623	processed_pseudogene
624	protein_coding
625	lincRNA
626	processed_pseudogene
627	lincRNA
628	protein_coding
629	lincRNA
630	protein_coding
631	protein_coding
632	protein_coding
633	miRNA
634	sense_overlapping
635	protein_coding
636	processed_pseudogene
637	processed_pseudogene
638	misc_RNA
639	protein_coding
640	protein_coding
641	protein_coding
642	processed_pseudogene
643	unprocessed_pseudogene
644	lincRNA
645	lincRNA
646	protein_coding
647	protein_coding
648	protein_coding
649	IG_V_pseudogene
650	protein_coding
651	protein_coding
652	processed_pseudogene
653	processed_pseudogene
654	snoRNA
655	TEC
656	protein_coding
657	lincRNA
658	antisense
659	processed_pseudogene
660	protein_coding
661	lincRNA
